Etapa	Requisito	Criterio	Evidencia	Sustento legal o técnico	Ayuda	Nivel	Perfil	Area Tematica	Preguntas
Acceso y uso del conjunto de datos	El usuario puede acceder al conjunto de datos de manera gratuita. 	Acceso gratuito al conjunto de datos	El conjunto de datos podrá ser consultado y descargado de manera gratuita.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		1	Usuario	Conocimiento y uso 	
Acceso y uso del conjunto de datos	El usuario puede acceder al conjunto de datos sin ninguna restricción técnica o legal.	Restricción técnica o legal para acceder al conjunto de datos.	Verificar que los datos no contengan restricciones de acceso, por ejemplo diligenciar algún tipo de registro o cualquier tipo de permiso especial para su obtención.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		1	Usuario	Conocimiento y uso 	
Acceso y uso del conjunto de datos	El usuario puede descargar el conjunto de datos en formatos libres.	Descarga del conjunto de datos en formatos libre.	Verificar que el conjunto de datos pueda descargarse en cualquiera de los siguientes formatos libres dependiendo de las características del dato: CSV, XML, JSON, RDF, RSS, entre otros. 	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf	Formatos libres: Son formatos de archivo que se pueden crear y manipular para cualquier software, libre de restricciones legales y que aumentan el nivel de reutilización de los datos.	1	Experto 	Talento Digital	
Acceso y uso del conjunto de datos	La entidad cuenta con mecanismos de publicación automática de los datos (ETL-proceso de extracción, transformación y carga o scripts) desde sus fuentes principales de información.	Deben existir mecanismos de publicación automáticos de los datos para extraerlos, transformarlos y cargarlos desde sus fuentes principales.	La entidad debe generar evidencia de la ejecución de la ETL, por ejemplo capturas de pantalla de los logs del servidor.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		3	Experto 	Talento Digital	
Acceso y uso del conjunto de datos	En caso que aplique, el conjunto de datos se encuentra vinculado o enlazado con otro(s) conjunto(s) de datos.	Vinculación del conjunto de datos con otros.	La entidad debe generar evidencia de que el conjunto de datos se encuentra enlazado o vinculado con otro (s) conjunto (s) de datos a través de estándares web tipo HTTP, RDF y URI o cualquier otro requerido.	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf	Los datos enlazados o vinculados son una manera normalizada de representar datos sobre una gran variedad de temas. La publicación de datos vinculados facilita a los programadores la conexión de información de diferentes fuentes, lo que lleva a nuevas e innovadoras aplicaciones.	3	Experto 	Talento Digital	
Acceso y uso del conjunto de datos	La entidad habilita mecanismos de acceso a los datos por medio de interfaces de programación de aplicaciones APIs, permitiendo que terceros busquen automáticamente, recuperen o consuman los datos directamente del portal de datos abiertos. 	Habilitar interfaces de programación APIs para que terceros puedan consumir información del conjunto de datos.	Evidencia a la instrucción o regla donde se encuentre habilitada la API.   En caso de que los datos se encuentren publicados en datos.gov.co, podrá encontrar la documentación y los parámetros de acceso a la API en la sección exportar.  	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf	Una API (Application Programming Interface o Interfase de Programación de Aplicaciones) es un conjunto de funciones que facilitan el intercambio de mensajes o datos entre dos aplicaciones.	2	Experto 	Talento Digital	
Evaluación y mejora del conjunto de datos	La entidad genera mecanismos para que los usuarios del conjunto de datos reporten hallazgos, comentarios o sugerencias.	Habilitar mecanismos digitales para que los usuarios reporten hallazgos, comentarios o sugerencias de los datos publicados. 	Evidencia en donde demuestre que la entidad habilitó uno o varios mecanismos digitales para que los usuarios del conjunto de datos reporten hallazgos, comentarios o sugerencias. Por ejemplo: correos electrónicos, chats, foros, entre otros.  	Guía para la apertura de datos abiertos en Colombia: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf	En caso de que los datos se encuentren publicados en datos.gov.co, el mecanismo habilitado lo podrá encontrar en la sección debatir.	1	Usuario	Seguimiento y Control 	¿Cuál es su grado de satisfacción frente a la publicación del conjunto de datos?
Evaluación y mejora del conjunto de datos	La entidad desarrolla una estrategia que permite mejorar la calidad de los datos publicados a partir de la realimentación de sus usuarios.	Teniendo en cuenta los comentarios o sugerencias recibidas por los usuarios del conjunto de datos, la entidad deberá desarrollar e implementar una estrategia que permita mejorar la calidad del mismo.	Documento con la estrategia de mejoramiento de la calidad de los datos, en donde se evidencie que se está teniendo en cuenta los comentarios o sugerencias recibidas de los usuarios.	Guía para la apertura de datos abiertos en Colombia, pág, 31 y 32: http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		2	Usuario	Seguimiento y Control 	
Evaluación y mejora del conjunto de datos	La entidad evalúa el uso de los datos publicados y la satisfaccion de sus usuarios.	Evaluación de uso y satisfacción de los usuarios del conjunto de datos. Para monitorear el uso de los datos abiertos, es posible utilizar algunos indicadores de tipo cuantitativo que permiten determinar su demanda y nivel de uso. Algunos de estos pueden ser: • Número de descargas del conjunto de datos. • Número de aplicaciones generadas a partir del conjunto de datos y la entidad haya logrado identificar. • Número de publicaciones que hicieron uso del conjunto de datos (papers, artículos, noticias, libros, etc.) y que la entidad haya logrado identificar.  En cuanto a la satisfacción de usuarios se puede medir a través de encuestas en línea u otra herramienta que facilite la satisfacción de la información contenida en el conjunto de datos.	Documento que evidencie los resultados de la evaluación del uso de los datos y de la satisfacción de sus usuarios.	Guía para la apertura de datos abiertos en Colombia, pág 31 http://estrategia.gobiernoenlinea.gov.co/623/articles-8248_Guia_Apertura_Datos.pdf		2	Experto 	Estrategia Digital 	
 									
