Etapa	Requisito	Criterio	Evidencia	Sustento legal o técnico	Ayuda	Nivel	Perfil	Area Tematica	Preguntas
Solicitud del trámite o servicio en línea	7. El usuario podrá encontrar ayuda para ejecutar el trámite o servicio en línea.	Contar con una guía, manual o ayuda que permita al usuario diligenciar adecuadamente la información requerida para ejecutar el trámite o servicio en línea. 	Link habilitado a la guía, manual o ayuda con las instrucciones para la ejecución del trámite o servicio en línea.	Ley 1712 de 2014, Ley 1341 de 2009, Decreto 1081 de 2015, Decreto 103 de 2015, art 3, Resolución 3564 de 2015 anexo 2		1	Usuario	Conocimiento y uso	¿Qué tan positiva fue su experiencia al realizar el trámite o servicio en linea?
Solicitud del trámite o servicio en línea	8. Los formularios del trámite o servicio en línea deben contar con una validación de campos que indiquen al usuario si existen errores en el diligenciamiento o información faltante. 	El formulario del trámite o servicio en línea debe contar con la opción automática de verificación de los datos ingresados.	Link habilitado al formulario en donde el evaluador pueda verificar que los campos cuentan con la opción automática de validación para constatar que no existen errores en el diligenciamiento o información faltante. 	Ley 1712 de 2014, Ley 1341 de 2009, Decreto 1081 de 2015, Decreto 103 de 2015, art 3, Resolución 3564 de 2015 anexo 2		1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	9. Si el trámite o servicio en línea requiere un pago, éste debe tener la posibilidad de hacerlo en línea y por otros medios.	El usuario del trámite o servicio en línea, debe contar con la posibilidad de efectuar el pago a través de alguno de los siguientes mecanismos:   *Pasarelas de pago (PSE, pago con tarjetas débito, pago con tarjetas de crédito, transferencia de fondos a cuenta de ahorro/corriente) * Terminal punto de venta (baloto, gana gana, etc.) * Operadores postales de pago (giros nacionales e internacionales) * Redeban multicolor * Transferencia bancaria * Corresponsal bancario   En todo caso, el trámite o servicio en línea debe tener la opción de generar un recibo para realizar el pago presencialmente.	Link habilitado al mecanismo de pago en línea en donde el evaluador pueda verificar que el trámite o servicio en linea cuenta con esta opción. Así mismo, pueda verificar que existe para descarga el recibo para pagos presenciales.	Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/arquitecturati/630/w3-channel.html		1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	10. El usuario podrá diligenciar el trámite o servicio en línea a través de cualquier navegador web.	El usuario puede ejecutar el trámite o servicio en línea, a través de cualquier navegador web y en cualquier versión disponible.	El evaluador deberá acceder al trámite o servicio en línea por distintos navegadores web y versiones, para verificar que el contenido cargue completamente y permita su ejecución.	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, la cual puede descargar en:  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf		1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	11. Durante la ejecución del trámite o servicio en línea, el usuario podrá corregir la información registrada y la documentación de soporte que haya cargado.	El usuario podrá corregir la información registrada y modificar los soportes cargados antes de finalizar la solicitud.	El evaluador deberá navegar por las secciones del trámite o servicio en línea en donde se registre información y pueda verificar que es posible corregirla. Del mismo modo, debe verificar que la documentación de soporte puede ser corregida antes de finalizar con la solicitud.	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, la cual puede descargar en:  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf		1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	4. El usuario es alertado por inactividad prolongada durante la ejecución del trámite o servicio en línea. Si el usuario no confirma actividad en un lapso de tiempo, el sistema cerrará la sesión automáticamente.	El trámite o servicio en línea debe contar con la opción de alertar al usuario por inactividad y confirmar el cierre de sesión automática en caso de no recibir confirmación. 	El evaluador deberá verificar en el trámite o servicio en línea que el usuario es alertado por inactividad prolongada durante la ejecución del trámite o servicio en línea y en caso de no confirmar, el sistema deberá cerrar la sesión automáticamente. 	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, la cual puede descargar en:  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf		2	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	5. El usuario podrá continuar ejecutando el trámite o servicio en línea a través de sesiones parciales guardadas en el sistema. 	El trámite o servicio en línea debe contar con la trazabilidad de las sesiones guardadas durante su ejecución.	El evaluador deberá verificar en el trámite o servicio en línea que el usuario podrá continuar ejecutando el trámite o servicio en línea a través de sesiones parciales guardadas en el sistema.	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, que se puede descargar en: http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf 		2	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	12. Cuando el trámite o servicio en línea requiere anexos en formato digital, se debe indicar al usuario las caracteristicas de dichos anexos.	El trámite o servicio en línea deberá especificar el tipo de formato, tamaño permitido y otras caracteristicas que deban tener los anexos.	Link habiltado a la sección del trámite o servicio en linea en donde se encuentren especificadas las caracterísiticas de los documentos anexos.	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, la cual puede descargar en:  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf		1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	13. El trámite o servicio en línea debe contar con un servicio de atención, en donde se especifique la información general del trámite e informar los medios para hacer seguimiento.	El servicio de atención del trámite o servicio en línea debe proporcionar información como horario, datos de contacto, tiempo estimado de respuesta del trámite, canales de comunciación y medios para hacer seguimiento, entre otros.	Link habilitado al servicio de atención al usuario, en donde se especifique los datos de contacto, tiempo estimado de respuesta del trámite, medios para hacer seguimiento, horarios de atención y tiempo de respuesta.	Ley 1437 de 2011 Artículo 7, numeral 8. Deberes de las autoridades en la atención al público. 		1	Experto	Gobernanza Digital	
Solicitud del trámite o servicio en línea	14. El trámite o servicio en línea estará disponible en todo momento. En caso de no estarlo, el usuario debe ser informado de la causa y del tiempo estimado de restablecimiento del servicio.	En caso que el trámite o servicio en línea no se encuentre disponible, se debe informar al usuario la causa y el tiempo estimado para acceder al mismo.	Captura de pantalla de los mensajes de indisponibilidad del servicio, en el cual se indiquen las causas y el tiempo estimado de restablecimiento.	Resolución 3564 de 2015, anexo 2. Numeral 1.9  Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/arquitecturati/630/w3-channel.html	La disponibilidad mide el grado con el que los recursos del sistema están disponibles para su uso por el usuario final a lo largo de un tiempo dado. Esta no sólo se relaciona con la prevención de caídas del sistema (también llamadas tiempos fuera de línea, downtime u offline), sino incluso con la percepción de "caída" desde el punto de vista del usuario: cualquier circunstancia que nos impida trabajar productivamente con el sistema es considerada como un factor de baja disponibilidad. La disponibilidad se establece a través de los acuerdos de nivel del servicio, que definen cuánto tiempo y en qué horarios debe estar en línea. 	1	Usuario	Conocimiento y uso	
Solicitud del trámite o servicio en línea	No se podrá exigir al usuario del trámite o servicio, actos administrativos, constancias, certificaciones o documentos que ya reposen en la entidad ante la cual se está tramitando la respectiva actuación o que se encuentren en otra entidad pública.	Actos administrativos, constancias, certificaciones o documentos que ya reposen en la entidad o que se encuentren en otra entidad pública.	Documento que contenga el listado de actos administrativos, constancias, certificaciones o documentos que reposen en la entidad. Además, documento o documentos que contengan el listado de los actos administrativos, constancias, certificaciones o documentos que sean requeridos por parte de la entidad para la realización del trámite o servicio. El evaluador debe  comparar estos dos documentos y no deben solicitarse aquellos que ya reposan en la entidad para la realización del trámite o servicio en línea.	Art 9 Decreto Ley 019 de 2012		3	Experto	Gobernanza Digital	
Solicitud del trámite o servicio en línea	6. El usuario podrá acceder al trámite o servicio en línea a través de dispositivos móviles aplicando tecnologías de diseño web adaptativo (Responsive Web Design-RWD).	El usuario podrá acceder y desplazarse fácilmente por los contenidos del trámite o servicio en línea a través de dispositivos móviles como celulares y tabletas.	El evaluador deberá acceder al trámite o servicio en línea por dispositivos móviles (celular, tableta), a fin de validar que se pueda navegar fácilmente por los contenidos. 	Se ajusta a los lineamientos y metodologías en usabilidad web para Gobierno en línea, la cual puede descargar en:  http://estrategia.gobiernoenlinea.gov.co/623/articles-8237_guia_usabilidad.pdf	El evaluador podrá validar el diseño web adaptativo del trámite o servicio en linea, ingresando a la siguiente herramienta:  http://www.responsinator.com/	2	Experto	Talento Digital 	
Solicitud del trámite o servicio en línea	El trámite o servicio en línea se encuentra disponible para el intercambio de información con otras entidades.	El trámite o servicio en línea debe cumplir con las siguientes características de intercambio de información: -Estandarizado según en lenguaje común definido en el marco de interoperabilidad. -Disponible para consulta con otras entidades.	Documento que demuestre que el trámite o servicio en línea se encuentra certificado en el directorio de servicios de intercambio de información del Estado.	Art 9 Decreto Ley 019 de 2012 Guía del uso del marco de interoperabilidad  http://estrategia.gobiernoenlinea.gov.co/623/articles-8240_Guia_Interoperabilidad.pdf  Guía del uso del lenguaje común de intercambio de información http://estrategia.gobiernoenlinea.gov.co/623/articles-8240_Guia_Lenguaje.pdf		3	Experto	Talento Digital 	
Recepción del producto	15. El usuario recibe un mensaje de confirmación de la solicitud del trámite o servicio en línea y tiene la posibilidad de hacer seguimiento en linea.	Al ejecutar el trámite o servicio en línea, el sistema debe generar un mensaje de confirmación de la solicitud indicando fecha, hora de recepción, número de registro de la solicitud y el plazo de respuesta. Así mismo, el trámite o servicio debe contar con un sistema de seguimiento en linea.	Registros o imágenes del mensaje de confirmación que recibe el usuario al realizar el trámite o servicio en línea. El cual deberá contener: fecha de la solicitud, hora de recepción, número de registro de la solicitud y plazo de respuesta. Así mismo, link al sistema de seguimiento del trámite o servicio en linea. 	Resolución 3564 de 2015. Anexo 2 numeral 8 Ley 1437 de 2011 Artículo 62. Prueba de recepción y envío de mensajes de datos por la autoridad  Resolución 3564 de 2015, art 1010 y Ley 1437 de 2011 art 5 numeral 4, art 14		1	Usuario	Seguimiento y control 	¿Obtuvo el resultado esperado al realizar el trámite o servicio en línea?
Recepción del producto	16. El usuario podrá presentar peticiones, quejas, reclamaciones o recursos relacionados con el trámite o servicio en línea.	Garantizar que a través de la plataforma o del sistema del trámite o servicio en línea, el usuario puede presentar peticiones, quejas, reclamaciones o recursos.	Link habilitado al sistema de pqr del trámite o servicio en línea. El evaluador deberá verificar que la plataforma del servicio cuente con una sección para interponer pqr o que el servicio indique y direccione al usuario al sistema de pqr de la entidad en donde pueda interponer este recurso. 	Art. 6 Ley 962 de 2005 LEY 1437 DE 2011 Artículo 7°. Deberes de las autoridades en la atención al público. Numeral 8 Resolución 3564 de 2015, anexo 2. Numeral 1.8		1	Usuario	Seguimiento y control 	
Recepción del producto	17. El usuario recibe el producto resultado del trámite o servicio en línea.	El producto resultado del trámite o servicio en línea es entregado al usuario asegurando la autenticidad, integridad y disponibilidad de la información.	Reportes del sistema del trámite o servicio en línea que evidencien que el producto o servicio fue entregado. Adicionalmente, los reportes deben permitir evidenciar que el resultado del servicio generó un documento firmado electrónicamente o que cuenta con un sistema de información donde se pueda verificar la validez del documento.	Ley 1437 de 2011 art. 56 y 67 Guía de usuario del Sistema Único de Información de Trámites, SUIT 3  http://www.suit.gov.co/documents/10179/11887/Gu%C3%ADa+de+usuario+del+Sistema+%C3%9Anico+de+Informaci%C3%B3n+de+Tr%C3%A1mites.pdf  Código General del Proceso Ley 1564 de 2012 Art. 243. Clases de documentos. Art. 244. DOCUMENTO AUTÉNTICO.   Ley 962 de 2005 Art. 6 Parágrafo 2  Ley 1437 de 2011 art. 57. Acto administrativo electrónico  Decreto 2364 de 2012 art. 1. Definiciones Numeral 3 art. 4. Confiabilidad de la firma	Producto: Es el resultado que tiene un usuario por parte de una institución al ejecutar un trámite o servicio (procedimiento administrativo). Estos pueden ser tangibles o intangibles.  Documento: Son documentos los escritos, impresos, planos, dibujos, cuadros, mensajes de datos, fotografías, cintas cinematográficas, discos, grabaciones magnetofónicas, videograbaciones, radiografías, talones, contraseñas, cupones, etiquetas, sellos y, en general, todo objeto mueble que tenga carácter representativo o declarativo.  Firma electrónica: Métodos tales como, códigos, contraseñas, datos biométricos, o claves criptográficas privadas, que permite identificar a una persona, en relación con un mensaje de datos, siempre y cuando el mismo sea confiable y apropiado respecto de los fines para los que se utiliza la firma, atendidas todas las circunstancias del caso, así como cualquier acuerdo pertinente.  El resultado del servicio debe generar un documento que permita identificar adecuadamente el sujeto que lo emitió, así como que su contenido sea íntegro, completo e inalterado y sin interrupciones.	1	Usuario	Conocimiento y uso	
Recepción del producto	7. Cuando el producto del trámite o servicio en línea sean datos relacionados con información geográfica, la entidad debe disponer de mecanismos tecnológicos de acceso, consulta, visualización y descarga. Adicionalmente, la información debe estar documentada a través de metadatos. 	El producto del trámite o servicio en línea relacionado con información geográfica, se puede acceder, consultar, visualizar y descargar. La información geográfica debe estar documentada a través de metadatos.	Link habilitado al repositorio que permita el acceso, consulta, visualización y descarga de los datos geográficos. El evaluador debe verificar además que la información debe estar documentada a través de metadatos. En caso de que este criterio no le aplique a la entidad, debe especificar las razones.	Estándares de la OGC (Open GeoSPatial Consortium) y W3C (World Wide Web Consortium) RESOLUCIÓN 068 de 2005 Por la cual se adopta como único datum oficial de Colombia el Marco Geocéntrico Nacional de Referencia: MAGNA-SIRGAS. Lineamientos, normas y guías establecidas por la Infraestructura Colombiana de Datos Espaciales-ICDE	La entidad debe facilitar el acceso en línea a los datos geográficos y poder descargarlos en los formatos (KML, KMZ o SHAPE, CSV, GEOJSON, GML), estándares tecnológicos para la apertura de datos geográficos: WMS (web map service), WFS (web feature service) y formatos interoperables definidos por organismos como la OGC y W3C. De ser posible y para agilizar la transferencia de grandes volúmenes de información, por ejemplo imágenes de alta resolución y/o bases de datos geográficas debe disponer de mecanismos tecnológicos para su acceso como servicios FTP y/o canales de banda ancha, información en la nube, entre otros. 	2	Experto	Talento Digital 	
Recepción del producto	8. Cuando el producto del trámite o servicio en línea sea un documento, éste debe estar disponible para ser consultado durante el mismo tiempo que indique la tabla de retención documental de la entidad, en los casos que aplique. 	Los documentos generados a partir de la ejecución del trámite o servicio en línea, deben estar disponibles para consulta del usuario, durante el tiempo indicado en las tablas de retención documental de la entidad.	Registro del sistema de información del trámite o servicio en línea, que evidencie el tiempo durante el cual estuvo disponible el documento para descarga por parte del usuario. Además, la entidad deberá adjuntar el archivo donde se establece el tiempo de disponibilidad del documento según las tablas de retención documental de la entidad. El evaluador debe comparar en estos dos documentos, que el tiempo establecido en las tablas de retención documental corresponda con el tiempo de disponibilidad del documento para descarga por parte del usuario. 	Ley 594 de 2000 Acuerdo 39 de 2002 Decreto 2609 de 2012, capítulo IV Artículo 23. Características del documento electrónico de archivo Artículo 28. Requisitos para la disponibilidad de los documentos electrónicos  Ley 1437 Art. 58  Acuerdo AGN 03 de 2015 - Art 13, 14, 15, 16 y 17	Son documentos los escritos, impresos, planos, dibujos, cuadros, mensajes de datos, fotografías, cintas cinematográficas, discos, grabaciones magnetofónicas, videograbaciones, radiografías, talones, contraseñas, cupones, etiquetas, sellos y, en general, todo objeto mueble que tenga carácter representativo o declarativo.   Se deben establecer mecanismos técnicos que aseguren que la información se pueda consultar y estar disponible en el futuro, independientemente del sistema que la produjo, su estructura o medio de registro original.	2	Experto	Gobernanza Digital	
Evaluación y mejora del trámite o servicio en línea	18. La entidad implementa un procedimiento para monitorear y evaluar el desempeño del trámite o servicio en línea y generar acciones de mejora.	Evaluar el desempeño del trámite o servicio en linea en términos de riesgo, eficacia y costo.	Documento con indicadores o métricas de desempeño del servicio, reportes y acciones realizadas para mejorar el servicio.	Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/arquitecturati/630/w3-channel.html	Ver en http://www.auditool.org/blog/auditoria-de-ti/1264-los-medidores-del-desempeno-en-la-seguridad-informatica	1	Experto	Estrategia Digital	¿Cuál es su grado de satisfacción frente al trámite o servicio en línea?
Evaluación y mejora del trámite o servicio en línea	19. El sistema que soporta el trámite o servicio en linea contiene mecanismos que aseguran el registro histórico y trazabilidad de las acciones realizadas.	La entidad debe contar con un sistema que registra las acciones realizadas por los usuarios y por el administrador del trámite o servicio de la entidad.	Registro, imágen u otro tipo de documento que evidencie que el sistema registra las acciones realizadas por los usuarios y el administrador del trámite o servicio en línea. 	Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/arquitecturati/630/w3-channel.html		1	Experto	Talento Digital 	
Evaluación y mejora del trámite o servicio en línea	9. La entidad debe contar con un plan de continuidad del trámite o servicio en línea, que establezca un proceso periodico de análisis y prevención de riesgos, gestión de emergencias y de recuperación del mismo.	Informe de gestión de disponibilidad del servicio donde se incluyan criterios de seguridad de la información, plan de continuidad del negocio (análisis de impacto del negocio), plan de respuesta de incidentes y plan de recuperación.	Verificar que la entidad disponga de un informe de gestión de disponibilidad del servicio con los criterios de seguridad de la información, plan de continuidad del negocio (análisis de impacto del negocio), plan de respuesta de incidentes y plan de recuperación.	Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/gestionti/615/w3-propertyvalue-7275.html		2	Experto	Estrategia Digital	
Evaluación y mejora del trámite o servicio en línea	20. La entidad mide el uso y la satisfacción del usuario frente al trámite o servicio en linea y genera acciones de mejora	La entidad realiza mediciones del uso, satisfacción del usuario e implementa acciones de mejora del trámite o servicio en línea. 	Registro, informe o documento con la medición del uso, satisfacción de los usuarios frente al trámite o servicio en linea y acciones de mejora planeadas e implementadas.	Alineado con el marco de referencia TI. Para mayor información consultar en:  http://www.mintic.gov.co/arquitecturati/630/w3-channel.html		1	Usuario	Seguimiento y control 	
